DT_DATE|MS_NUM_BIRTHS
2008-01-01|231
2008-01-02|334
2008-01-03|409
2008-01-04|429
2008-01-05|278
2008-01-06|237
2008-01-07|398
2008-01-08|441
2008-01-09|380
2008-01-10|415
2008-01-11|386
2008-01-12|229
2008-01-13|221
2008-01-14|413
2008-01-15|427
2008-01-16|426
2008-01-17|395
2008-01-18|461
2008-01-19|266
2008-01-20|213
2008-01-21|367
2008-01-22|417
2008-01-23|361
2008-01-24|392
2008-01-25|390
2008-01-26|225
2008-01-27|251
2008-01-28|400
2008-01-29|412
2008-01-30|408
2008-01-31|410
2008-02-01|421
2008-02-02|201
2008-02-03|225
2008-02-04|354
2008-02-05|417
2008-02-06|337
2008-02-07|364
2008-02-08|380
2008-02-09|212
2008-02-10|214
2008-02-11|403
2008-02-12|414
2008-02-13|397
2008-02-14|383
2008-02-15|374
2008-02-16|221
2008-02-17|226
2008-02-18|408
2008-02-19|412
2008-02-20|397
2008-02-21|398
2008-02-22|385
2008-02-23|231
2008-02-24|187
2008-02-25|390
2008-02-26|454
2008-02-27|354
2008-02-28|431
2008-02-29|342
2008-03-01|211
2008-03-02|216
2008-03-03|422
2008-03-04|414
2008-03-05|381
2008-03-06|411
2008-03-07|373
2008-03-08|220
2008-03-09|239
2008-03-10|394
2008-03-11|407
2008-03-12|391
2008-03-13|377
2008-03-14|373
2008-03-15|236
2008-03-16|222
2008-03-17|361
2008-03-18|445
2008-03-19|386
2008-03-20|451
2008-03-21|441
2008-03-22|232
2008-03-23|183
2008-03-24|236
2008-03-25|341
2008-03-26|384
2008-03-27|401
2008-03-28|371
2008-03-29|221
2008-03-30|217
2008-03-31|348
2008-04-01|351
2008-04-02|351
2008-04-03|392
2008-04-04|381
2008-04-05|222
2008-04-06|241
2008-04-07|409
2008-04-08|452
2008-04-09|394
2008-04-10|465
2008-04-11|410
2008-04-12|259
2008-04-13|234
2008-04-14|384
2008-04-15|413
2008-04-16|417
2008-04-17|428
2008-04-18|432
2008-04-19|224
2008-04-20|246
2008-04-21|389
2008-04-22|439
2008-04-23|400
2008-04-24|407
2008-04-25|413
2008-04-26|245
2008-04-27|239
2008-04-28|412
2008-04-29|467
2008-04-30|416
2008-05-01|243
2008-05-02|279
2008-05-03|252
2008-05-04|239
2008-05-05|431
2008-05-06|405
2008-05-07|405
2008-05-08|433
2008-05-09|433
2008-05-10|226
2008-05-11|232
2008-05-12|237
2008-05-13|427
2008-05-14|430
2008-05-15|446
2008-05-16|415
2008-05-17|241
2008-05-18|227
2008-05-19|386
2008-05-20|399
2008-05-21|417
2008-05-22|445
2008-05-23|402
2008-05-24|238
2008-05-25|237
2008-05-26|394
2008-05-27|398
2008-05-28|377
2008-05-29|357
2008-05-30|392
2008-05-31|232
2008-06-01|246
2008-06-02|379
2008-06-03|431
2008-06-04|380
2008-06-05|386
2008-06-06|372
2008-06-07|226
2008-06-08|264
2008-06-09|399
2008-06-10|441
2008-06-11|405
2008-06-12|417
2008-06-13|400
2008-06-14|239
2008-06-15|224
2008-06-16|390
2008-06-17|439
2008-06-18|393
2008-06-19|419
2008-06-20|421
2008-06-21|229
2008-06-22|249
2008-06-23|411
2008-06-24|437
2008-06-25|408
2008-06-26|440
2008-06-27|412
2008-06-28|237
